dt,xi_x,xi_y,xi_z,dot_xi_x,dot_xi_y,dot_xi_z
0.01,-0.261039,-0.26122,2.82365,30.1619,30.1644,73.3033
0.01,-0.244155,-0.244333,2.8269,29.5565,29.559,73.0276
0.01,-0.2277,-0.227876,2.83055,28.906,28.9083,72.6995
0.01,-0.211743,-0.211916,2.83455,28.2143,28.2167,72.3254
0.01,-0.196345,-0.196516,2.83887,27.4854,27.4879,71.9102
0.01,-0.181567,-0.181735,2.84346,26.7239,26.7262,71.4597
0.01,-0.167462,-0.167627,2.84829,25.9332,25.9356,70.9788
0.01,-0.154079,-0.154242,2.85334,25.1182,25.1204,70.4732
0.01,-0.141462,-0.141622,2.85858,24.2828,24.285,69.9467
0.01,-0.12965,-0.129808,2.86399,23.4317,23.4337,69.4034
0.01,-0.118676,-0.118831,2.86957,22.5689,22.5709,68.8475
0.01,-0.108567,-0.10872,2.87529,21.6989,21.7008,68.2821
0.01,-0.0993456,-0.0994956,2.88117,20.8261,20.828,67.71
0.01,-0.0910276,-0.0911752,2.88718,19.9547,19.9564,67.1332
0.01,-0.0836233,-0.0837686,2.89334,19.0888,19.0903,66.5543
0.01,-0.0771376,-0.0772806,2.89964,18.2323,18.2339,65.9744
0.01,-0.0715696,-0.0717104,2.90608,17.3891,17.3906,65.3949
0.01,-0.0669131,-0.0670519,2.91267,16.5629,16.5645,64.8167
0.01,-0.0631561,-0.0632932,2.91941,15.7574,15.7588,64.2399
0.01,-0.0602826,-0.0604176,2.92631,14.9756,14.9768,63.6652
0.01,-0.0582707,-0.058404,2.93335,14.2204,14.2216,63.0929
0.01,-0.0570947,-0.0572263,2.94056,13.4947,13.4958,62.5222
0.01,-0.0567243,-0.0568543,2.94792,12.801,12.8021,61.9528
0.01,-0.0571255,-0.057254,2.95545,12.1413,12.1424,61.3844
0.01,-0.0582605,-0.0583876,2.96313,11.5178,11.5188,60.8167
0.01,-0.0600887,-0.0602143,2.97097,10.9319,10.9327,60.2488
0.01,-0.0625659,-0.0626903,2.97897,10.3851,10.3858,59.6802
0.01,-0.0656462,-0.0657694,2.98712,9.87823,9.87884,59.1103
0.01,-0.0692816,-0.0694037,2.99541,9.41202,9.4127,58.5388
0.01,-0.0734217,-0.0735427,3.00384,8.98721,8.98775,57.9656
0.01,-0.0780156,-0.0781354,3.0124,8.60385,8.60438,57.3897
0.01,-0.0830109,-0.0831298,3.02109,8.26178,8.26239,56.8106
0.01,-0.0883547,-0.0884727,3.0299,7.96083,7.96138,56.2289
0.01,-0.0939941,-0.094111,3.03881,7.70062,7.70104,55.6445
0.01,-0.099876,-0.099992,3.04782,7.47993,7.48048,55.0568
0.01,-0.105948,-0.106063,3.05691,7.29808,7.29858,54.4668
0.01,-0.112158,-0.112272,3.06609,7.15396,7.15438,53.8739
0.01,-0.118455,-0.118568,3.07534,7.04608,7.04662,53.2791
0.01,-0.12479,-0.124901,3.08464,6.97287,6.97339,52.6823
0.01,-0.131114,-0.131225,3.094,6.93266,6.9332,52.0839
0.01,-0.137383,-0.137492,3.10341,6.92369,6.92434,51.485
0.01,-0.143551,-0.143659,3.11285,6.94403,6.9446,50.8855
0.01,-0.149576,-0.149683,3.12232,6.99147,6.99209,50.2865
0.01,-0.15542,-0.155525,3.13181,7.06401,7.0646,49.688
0.01,-0.161044,-0.161149,3.14132,7.15934,7.16004,49.0912
0.01,-0.166417,-0.166519,3.15084,7.27531,7.27608,48.4956
0.01,-0.171504,-0.171605,3.16037,7.40959,7.41037,47.9027
0.01,-0.17628,-0.176379,3.1699,7.55981,7.56052,47.3124
0.01,-0.180717,-0.180814,3.17943,7.72355,7.72435,46.7253
0.01,-0.184794,-0.18489,3.18896,7.89857,7.89941,46.1417
0.01,-0.188491,-0.188585,3.19848,8.08253,8.08342,45.5619
0.01,-0.191793,-0.191885,3.20799,8.2732,8.27411,44.9862
0.01,-0.194686,-0.194776,3.2175,8.46825,8.46924,44.4146
0.01,-0.19716,-0.197248,3.22699,8.66571,8.66659,43.8474
0.01,-0.199208,-0.199295,3.23647,8.86321,8.86421,43.2846
0.01,-0.200827,-0.200911,3.24593,9.059,9.05994,42.7263
0.01,-0.202015,-0.202097,3.25537,9.25095,9.2519,42.1725
0.01,-0.202774,-0.202854,3.2648,9.43736,9.43834,41.6229
0.01,-0.203107,-0.203185,3.2742,9.61649,9.61749,41.0775
0.01,-0.203023,-0.203098,3.28358,9.78679,9.78777,40.5364
0.01,-0.202529,-0.202602,3.29293,9.94682,9.94776,39.9991
0.01,-0.201637,-0.201708,3.30225,10.0951,10.0961,39.4657
0.01,-0.200361,-0.20043,3.31155,10.2307,10.2316,38.9361
0.01,-0.198716,-0.198782,3.3208,10.3523,10.3531,38.4099
0.01,-0.196719,-0.196783,3.33002,10.459,10.4599,37.8869
0.01,-0.194389,-0.194451,3.3392,10.5501,10.551,37.3674
0.01,-0.191746,-0.191806,3.34833,10.6249,10.6257,36.851
0.01,-0.188811,-0.188869,3.35741,10.6829,10.6836,36.3376
0.01,-0.185607,-0.185662,3.36644,10.7237,10.7244,35.8272
0.01,-0.182156,-0.18221,3.37541,10.7469,10.7476,35.3194
0.01,-0.178483,-0.178535,3.38431,10.7526,10.7533,34.8146
0.01,-0.174611,-0.174661,3.39315,10.7407,10.7413,34.3128
