Tauu_x,Tauu_y,Tauu_z,Fu
0.00538626,-0.00923663,0.000208875,3.06353
0.00446294,-0.00869254,0.000143004,3.07275
0.00354254,-0.00812528,7.57779e-05,3.08243
0.00263238,-0.00753602,7.8358e-06,3.09254
0.00174015,-0.00692737,-6.01095e-05,3.10305
0.000870335,-0.00630917,-0.000127108,3.11392
2.89927e-05,-0.0056843,-0.000192474,3.12513
-0.000775588,-0.00505478,-0.000255592,3.13663
-0.00154488,-0.00443041,-0.000315498,3.14839
-0.00226499,-0.00380941,-0.000371949,3.16035
-0.00294088,-0.00320053,-0.000424001,3.17248
-0.00356602,-0.00260499,-0.000471286,3.18474
-0.00413738,-0.00202634,-0.00051337,3.19709
-0.00465025,-0.00146837,-0.000549971,3.20949
-0.00510865,-0.000933002,-0.000580586,3.2219
-0.00550788,-0.000422654,-0.000605146,3.2343
-0.00584777,6.08237e-05,-0.000623484,3.24665
-0.00612985,0.00051613,-0.000635492,3.25893
-0.00635257,0.000941256,-0.000641277,3.27111
-0.00651768,0.00133606,-0.000640868,3.28316
-0.00662762,0.00170056,-0.000634354,3.29507
-0.00668352,0.00203429,-0.000621993,3.30683
-0.00668545,0.00233608,-0.000604159,3.31842
-0.00663828,0.0026075,-0.000581048,3.32982
-0.00654451,0.00284944,-0.000553032,3.34104
-0.00640626,0.00306252,-0.000520528,3.35205
-0.00622592,0.00324584,-0.00048413,3.36287
-0.00600903,0.00340366,-0.000444053,3.37347
-0.00575614,0.00353376,-0.000401059,3.38388
-0.00547341,0.00364063,-0.00035541,3.39407
-0.00516196,0.00372257,-0.000307854,3.40406
-0.00482772,0.00378446,-0.000258621,3.41384
-0.00447261,0.00382463,-0.000208487,3.42343
-0.00410112,0.00384645,-0.000157779,3.43282
-0.00371662,0.00385093,-0.000107007,3.44201
-0.00332212,0.00383883,-5.66804e-05,3.45102
-0.00292189,0.00381264,-7.13635e-06,3.45984
-0.00251813,0.00377238,4.11426e-05,3.46848
-0.00211561,0.00372225,8.79835e-05,3.47694
-0.00171597,0.00366046,0.000132853,3.48524
-0.00132219,0.00358935,0.000175569,3.49338
-0.000937401,0.00350995,0.000215855,3.50135
-0.000563799,0.00342314,0.000253513,3.50918
-0.000204257,0.00333168,0.00028847,3.51686
0.00013954,0.00323507,0.00032051,3.5244
0.000466011,0.00313293,0.00034947,3.53181
0.000773259,0.00302761,0.000375399,3.53909
0.00106011,0.00291833,0.000398188,3.54624
0.0013247,0.00280838,0.000417961,3.55328
0.00156644,0.00269673,0.000434671,3.5602
0.00178466,0.00258325,0.000448344,3.56701
0.00197924,0.00246771,0.000459053,3.57372
0.00214923,0.00235195,0.000466929,3.58034
0.00229442,0.00223789,0.000472129,3.58685
0.00241546,0.00212087,0.000474609,3.59328
0.00251196,0.00200645,0.00047466,3.59962
0.00258546,0.00188908,0.000472289,3.60588
0.00263529,0.00177594,0.000467776,3.61205
0.00266276,0.00166224,0.000461145,3.61814
0.00266928,0.00154547,0.000452521,3.62416
0.00265492,0.00143309,0.000442163,3.6301
0.00262163,0.00131894,0.000430126,3.63597
0.00257005,0.00120703,0.000416595,3.64176
0.00250217,0.00109395,0.000401687,3.64747
0.00241897,0.000981842,0.000385551,3.65311
0.00232093,0.000873384,0.00036829,3.65868
0.00221126,0.000761851,0.000350058,3.66417
0.00209047,0.000652303,0.000330978,3.66958
0.00196058,0.000542584,0.000311179,3.67492
0.00182158,0.000436241,0.000290723,3.68017
0.00167892,0.000325567,0.000269891,3.68535
0.00152613,0.000223703,0.000248444,3.69044
0.00137836,0.000111406,0.000227121,3.69546
0.00121835,1.24524e-05,0.000205164,3.70038
0.00106685,-9.47475e-05,0.000183589,3.70522
0.000909329,-0.000194666,0.000161758,3.70997
0.00075623,-0.000295408,0.00014021,3.71464
0.000602712,-0.000393444,0.000118774,3.71921
0.000456276,-0.000490815,9.78394e-05,3.72369
0.000318791,-0.000586155,7.75191e-05,3.72808
0.000175535,-0.000678565,5.72677e-05,3.73237
5.17527e-05,-0.00076843,3.81776e-05,3.73658
-7.89813e-05,-0.000857271,1.92599e-05,3.74069
-0.000189212,-0.000941035,1.63677e-06,3.7447
-0.000296754,-0.00102256,-1.5313e-05,3.74863
-0.000395281,-0.00110074,-3.12919e-05,3.75246
-0.000480595,-0.00117315,-4.61058e-05,3.75621
-0.000567925,-0.00124741,-6.01938e-05,3.75987
-0.000634338,-0.00131157,-7.2765e-05,3.76344
-0.000699229,-0.00137611,-8.43816e-05,3.76693
-0.000752231,-0.00143454,-9.46796e-05,3.77034
-0.000794401,-0.00148724,-0.000103663,3.77367
-0.000829749,-0.00153689,-0.000111416,3.77693
-0.000852755,-0.0015788,-0.000117771,3.78011
-0.000873658,-0.0016201,-0.000122956,3.78322
-0.00088012,-0.00165167,-0.00012669,3.78626
-0.000879228,-0.00167805,-0.000129135,3.78924
-0.000874267,-0.00170119,-0.000130358,3.79216
-0.000865048,-0.00172083,-0.000130365,3.79502
-0.000841657,-0.00172887,-0.000129031,3.79783
-0.000816581,-0.00173419,-0.000126585,3.80058
-0.000785337,-0.00173325,-0.000123013,3.80328
-0.000753471,-0.00172965,-0.000118423,3.80594
-0.000712087,-0.00171638,-0.000112789,3.80855
-0.000665681,-0.00169679,-0.000106237,3.81112
-0.00062314,-0.00167651,-9.88828e-05,3.81365
-0.00056891,-0.00164449,-9.07383e-05,3.81614
-0.000524042,-0.0016148,-8.19488e-05,3.81859
-0.000466235,-0.00157227,-7.2566e-05,3.82101
-0.000412555,-0.0015282,-6.26954e-05,3.82339
-0.000357016,-0.00147865,-5.24351e-05,3.82574
-0.000309377,-0.00142788,-4.18179e-05,3.82806
-0.000248706,-0.0013672,-3.10861e-05,3.83035
-0.000196756,-0.00130584,-2.01669e-05,3.83261
-0.00014378,-0.00123989,-9.23642e-06,3.83484
-0.000100808,-0.00117096,1.76499e-06,3.83704
-4.70337e-05,-0.00109766,1.24459e-05,3.83922
6.32226e-06,-0.00102334,2.28717e-05,3.84137
4.71651e-05,-0.00094556,3.31922e-05,3.84348
8.17324e-05,-0.000862415,4.32472e-05,3.84557
0.000129146,-0.000784295,5.25417e-05,3.84763
0.000162748,-0.000699545,6.1614e-05,3.84966
0.000194767,-0.000613804,7.01268e-05,3.85166
0.000226772,-0.000530312,7.79872e-05,3.85363
0.000251081,-0.000441089,8.53633e-05,3.85557
0.000277975,-0.000359181,9.19345e-05,3.85748
0.000296815,-0.000270329,9.79801e-05,3.85936
0.000315629,-0.000187111,0.000103241,3.86121
0.000329047,-0.000100258,0.000107872,3.86302
0.000342295,-2.08322e-05,0.000111703,3.86481
0.000350842,6.08189e-05,0.000114875,3.86656
0.00035586,0.000143907,0.000117362,3.86828
0.000360059,0.000219061,0.000119086,3.86997
0.00036151,0.00029175,0.000120127,3.87163
0.000359397,0.000366676,0.000120532,3.87325
0.000355874,0.00043565,0.000120259,3.87485
0.000350708,0.00050002,0.000119351,3.87642
0.000342689,0.000564807,0.000117868,3.87795
0.000333963,0.000623205,0.000115794,3.87945
0.000323864,0.000676628,0.000113184,3.88092
0.000312569,0.000726657,0.000110077,3.88237
0.000298956,0.000778227,0.00010653,3.88378
0.000286164,0.000817648,0.000102528,3.88517
0.000271353,0.000857942,9.81591e-05,3.88654
0.000257196,0.000889334,9.3434e-05,3.88787
0.000241643,0.000920759,8.84152e-05,3.88919
0.00022608,0.000946039,8.31294e-05,3.89048
0.000209974,0.000970426,7.76233e-05,3.89175
0.000195059,0.000983834,7.19251e-05,3.893
0.000179997,0.00099524,6.60855e-05,3.89422
0.000165255,0.00100186,6.01384e-05,3.89543
0.000150095,0.00100861,5.41195e-05,3.89662
0.000136577,0.00100453,4.80659e-05,3.89779
0.000123357,0.000998435,4.20093e-05,3.89894
0.000109307,0.000995136,3.59773e-05,3.90008
9.89064e-05,0.000974193,3.00186e-05,3.90121
8.69268e-05,0.000961565,2.41353e-05,3.90231
7.64995e-05,0.000939918,1.83708e-05,3.90341
6.6238e-05,0.000918433,1.27404e-05,3.90449
5.82007e-05,0.000887556,7.28283e-06,3.90556
4.91241e-05,0.000861455,1.98947e-06,3.90661
4.29081e-05,0.000824867,-3.08373e-06,3.90766
3.53887e-05,0.000792462,-7.96357e-06,3.90869
3.18325e-05,0.000747432,-1.25769e-05,3.90971
2.56918e-05,0.000711053,-1.69872e-05,3.91072
2.26367e-05,0.000665036,-2.11152e-05,3.91172
1.69197e-05,0.000626627,-2.50245e-05,3.91271
1.62343e-05,0.000575362,-2.86096e-05,3.91369
1.33406e-05,0.000529379,-3.19604e-05,3.91465
1.15753e-05,0.000480566,-3.50276e-05,3.91561
1.2779e-05,0.000427187,-3.77876e-05,3.91655
8.40712e-06,0.000383273,-4.03501e-05,3.91748
8.49283e-06,0.00033111,-4.25828e-05,3.9184
1.08519e-05,0.00027746,-4.45221e-05,3.91931
8.66997e-06,0.000229042,-4.62565e-05,3.92021
1.13831e-05,0.000175879,-4.76724e-05,3.92109
1.20833e-05,0.000125755,-4.88639e-05,3.92196
1.11547e-05,7.72847e-05,-4.9829e-05,3.92282
9.63967e-06,2.90872e-05,-5.05613e-05,3.92367
2.60276e-05,-2.23095e-05,-5.08842e-05,3.9245
-4.92699e-06,-6.39257e-05,-5.14691e-05,3.92532
2.02488e-05,-0.000112016,-5.12835e-05,3.92613
1.4649e-05,-0.000155256,-5.12053e-05,3.92692
1.4336e-05,-0.000197311,-5.08945e-05,3.9277
1.83807e-05,-0.00023575,-5.03797e-05,3.92846
1.07066e-05,-0.000277087,-4.97915e-05,3.92922
7.70019e-06,-0.00031553,-4.9013e-05,3.92995
7.27489e-06,-0.000350295,-4.80768e-05,3.93068
7.79488e-06,-0.000381784,-4.70117e-05,3.93138
7.90889e-06,-0.000410626,-4.58417e-05,3.93208
6.82919e-06,-0.000437879,-4.4583e-05,3.93276
3.5523e-06,-0.000464099,-4.32486e-05,3.93343
-2.19957e-06,-0.000490497,-4.18447e-05,3.93409
-2.22844e-06,-0.000508534,-4.0359e-05,3.93474
-7.2868e-06,-0.000528812,-3.88295e-05,3.93537
-8.97989e-06,-0.000543028,-3.72503e-05,3.936
-9.00634e-06,-0.00055218,-3.56378e-05,3.93661
-1.61462e-05,-0.000567032,-3.40047e-05,3.93721
-2.26667e-05,-0.000578729,-3.23512e-05,3.93779
-2.9479e-05,-0.000588374,-3.06812e-05,3.93837
-2.15277e-05,-0.000577594,-2.90221e-05,3.93894
-3.9901e-05,-0.000596366,-2.73291e-05,3.93949
-3.60181e-05,-0.000585768,-2.5685e-05,3.94004
-4.35562e-05,-0.000586941,-2.40267e-05,3.94058
-4.60186e-05,-0.000580147,-2.24013e-05,3.94111
-5.27276e-05,-0.000576096,-2.07845e-05,3.94162
-4.53385e-05,-0.000554222,-1.92432e-05,3.94213
-6.20003e-05,-0.000557776,-1.76438e-05,3.94263
-5.3825e-05,-0.000532407,-1.61766e-05,3.94313
-6.1263e-05,-0.000522822,-1.46732e-05,3.94361
-7.56301e-05,-0.00051789,-1.31711e-05,3.94409
-5.94203e-05,-0.000482097,-1.18468e-05,3.94456
-7.46964e-05,-0.000475251,-1.03947e-05,3.94502
-6.86238e-05,-0.000448194,-9.09616e-06,3.94547
-6.77139e-05,-0.000425442,-7.80274e-06,3.94592
-9.23736e-05,-0.000418216,-6.39681e-06,3.94636
-6.63735e-05,-0.000377405,-5.32798e-06,3.94679
-8.64109e-05,-0.000363036,-4.00109e-06,3.94722
-6.50612e-05,-0.00032851,-2.9838e-06,3.94765
-9.97692e-05,-0.000312458,-1.62632e-06,3.94807
-5.24562e-05,-0.00027528,-8.69824e-07,3.94848
-6.43199e-05,-0.000253104,2.69994e-07,3.94889
-7.6715e-05,-0.000225194,1.36522e-06,3.94929
-5.52533e-05,-0.000201755,2.17605e-06,3.94968
-6.24549e-05,-0.00017323,3.17645e-06,3.95007
-6.2826e-05,-0.000143757,4.08953e-06,3.95045
-5.71042e-05,-0.000117545,4.92434e-06,3.95083
-4.7476e-05,-9.68145e-05,5.69534e-06,3.9512
-5.12913e-05,-6.16909e-05,6.54782e-06,3.95156
-4.71704e-05,-3.34046e-05,7.29628e-06,3.95192
-2.81501e-05,-3.25491e-05,7.87381e-06,3.95227
-3.93823e-05,2.26227e-05,8.69533e-06,3.95262
-2.52642e-05,2.83881e-05,9.23583e-06,3.95296
-1.89594e-05,4.77389e-05,9.81175e-06,3.9533
-2.15916e-05,9.60787e-05,1.04386e-05,3.95364
-9.85339e-06,9.90115e-05,1.08721e-05,3.95396
-2.91681e-06,0.000114668,1.13112e-05,3.95428
1.42226e-06,0.000140911,1.17347e-05,3.95459
7.23871e-06,0.000160235,1.20947e-05,3.95489
1.16502e-05,0.000189467,1.24249e-05,3.95519
1.90345e-05,0.000196897,1.26652e-05,3.95549
2.46121e-05,0.000215714,1.28779e-05,3.95577
3.19413e-05,0.000215232,1.30155e-05,3.95606
3.51504e-05,0.000256251,1.31613e-05,3.95634
4.34355e-05,0.000233789,1.31789e-05,3.95661
4.68501e-05,0.000268891,1.32137e-05,3.95688
5.25107e-05,0.000271413,1.31647e-05,3.95714
5.76347e-05,0.000272759,1.30651e-05,3.9574
6.17729e-05,0.000287627,1.29269e-05,3.95765
6.57897e-05,0.000301422,1.27368e-05,3.9579
7.03472e-05,0.000285772,1.24805e-05,3.95815
7.36025e-05,0.000300302,1.21913e-05,3.95839
7.66523e-05,0.000300355,1.18506e-05,3.95863
7.95045e-05,0.000301568,1.14633e-05,3.95887
8.172e-05,0.000304261,1.10309e-05,3.9591
8.40331e-05,0.000293202,1.05539e-05,3.95932
8.53437e-05,0.000300234,1.00357e-05,3.95955
8.67872e-05,0.00029349,9.47897e-06,3.95977
8.76405e-05,0.000289449,8.88299e-06,3.95998
