domega_x,domega_y,domega_z,omega_x,omega_y,omega_z,dq_w,dq_x,dq_y,dq_z,q_w,q_x,q_y,q_z,dt
10.8518,-9.87256,0.175974,0.868965,-0.825179,0.000124312,0.0921815,0.429766,-0.407194,0.00151101,0.988995,-0.105596,0.103621,-0.00110928,0.01
10.5107,-9.51709,0.184957,0.974073,-0.92035,0.00197388,0.099114,0.482085,-0.454675,0.00285042,0.989964,-0.100773,0.0990718,-0.00108075,0.01
10.1067,-9.10994,0.191553,1.07514,-1.01145,0.00388941,0.104278,0.532528,-0.500264,0.00421973,0.99098,-0.0954452,0.0940666,-0.00103852,0.01
9.64291,-8.65451,0.195543,1.17157,-1.09799,0.00584484,0.107556,0.580795,-0.543716,0.00559961,0.992023,-0.0896344,0.0886266,-0.000982493,0.01
9.12435,-8.15643,0.19689,1.26281,-1.17956,0.00781374,0.10887,0.626603,-0.584805,0.00697054,0.993075,-0.0833653,0.0827755,-0.000912754,0.01
8.55481,-7.6192,0.195437,1.34836,-1.25575,0.00976811,0.10818,0.66968,-0.623319,0.00831279,0.994115,-0.0766652,0.076539,-0.000829591,0.01
7.93952,-7.05023,0.191463,1.42775,-1.32625,0.0116827,0.105489,0.709779,-0.659079,0.00960774,0.995122,-0.0695641,0.0699449,-0.000733478,0.01
7.2813,-6.44548,0.183951,1.50057,-1.39071,0.0135223,0.100834,0.746661,-0.691882,0.010835,0.996078,-0.0620943,0.0630228,-0.000625096,0.01
6.59248,-5.826,0.174341,1.56649,-1.44897,0.0152657,0.0942989,0.780147,-0.721627,0.011979,0.996965,-0.0542897,0.0558033,-0.000505277,0.01
5.87329,-5.18773,0.162053,1.62523,-1.50085,0.0168862,0.0859969,0.810054,-0.748192,0.0130238,0.997764,-0.0461863,0.0483185,-0.000375016,0.01
5.12966,-4.53661,0.147267,1.67652,-1.54621,0.0183589,0.0760749,0.836233,-0.771486,0.0139555,0.998459,-0.0378216,0.040601,-0.000235446,0.01
