p_x,p_y,p_z,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,dt
0.250661,0.250661,1.231946,0.763123,0.763123,2.813712,0.598833,0.598833,10.857407,0.010000
0.258377,0.258377,1.260718,0.768736,0.768736,2.823385,0.561340,0.561340,10.777355,0.010000
0.266143,0.266143,1.289576,0.773978,0.773978,2.832264,0.524151,0.524151,10.697863,0.010000
0.273956,0.273956,1.318510,0.778851,0.778851,2.840353,0.487293,0.487293,10.618923,0.010000
0.281812,0.281812,1.347514,0.783359,0.783359,2.847659,0.450794,0.450794,10.540539,0.010000
0.289708,0.289708,1.376579,0.787506,0.787506,2.854186,0.414678,0.414678,10.462704,0.010000
0.297640,0.297640,1.405698,0.791295,0.791295,2.859940,0.378972,0.378972,10.385431,0.010000
0.305604,0.305604,1.434862,0.794732,0.794732,2.864927,0.343694,0.343694,10.308723,0.010000
0.313598,0.313598,1.464065,0.797821,0.797821,2.869153,0.308862,0.308862,10.232588,0.010000
0.321617,0.321617,1.493299,0.800566,0.800566,2.872624,0.274500,0.274500,10.157033,0.010000
0.329659,0.329659,1.522557,0.802972,0.802972,2.875345,0.240618,0.240618,10.082077,0.010000
0.337720,0.337720,1.551831,0.805044,0.805044,2.877322,0.207251,0.207251,10.007727,0.010000
0.345796,0.345796,1.581113,0.806788,0.806788,2.878562,0.174382,0.174382,9.934005,0.010000
0.353885,0.353885,1.610397,0.808209,0.808209,2.879071,0.142038,0.142038,9.860921,0.010000
0.361984,0.361984,1.639675,0.809311,0.809311,2.878856,0.110228,0.110228,9.788498,0.010000
0.370089,0.370089,1.668940,0.810100,0.810100,2.877923,0.078956,0.078956,9.716754,0.010000
0.378197,0.378197,1.698185,0.810583,0.810583,2.876281,0.048235,0.048235,9.645710,0.010000
0.386306,0.386306,1.727403,0.810764,0.810764,2.873935,0.018069,0.018069,9.575388,0.010000
0.394412,0.394412,1.756587,0.810648,0.810648,2.870893,-0.011532,-0.011532,9.505805,0.010000
0.402512,0.402512,1.785731,0.810243,0.810243,2.867162,-0.040567,-0.040567,9.436994,0.010000
0.410604,0.410604,1.814827,0.809552,0.809552,2.862752,-0.069032,-0.069032,9.368969,0.010000
0.418685,0.418685,1.843868,0.808583,0.808583,2.857670,-0.096921,-0.096921,9.301758,0.010000
0.426752,0.426752,1.872849,0.807341,0.807341,2.851924,-0.124232,-0.124232,9.235387,0.010000
0.434803,0.434803,1.901763,0.805831,0.805831,2.845522,-0.150965,-0.150965,9.169880,0.010000
0.442835,0.442835,1.930603,0.804060,0.804060,2.838475,-0.177118,-0.177118,9.105256,0.010000
0.450845,0.450845,1.959363,0.802033,0.802033,2.830791,-0.202689,-0.202689,9.041547,0.010000
0.458831,0.458831,1.988037,0.799756,0.799756,2.822478,-0.227681,-0.227681,8.978775,0.010000
0.466791,0.466791,2.016618,0.797235,0.797235,2.813548,-0.252092,-0.252092,8.916958,0.010000
0.474722,0.474722,2.045101,0.794476,0.794476,2.804009,-0.275923,-0.275923,8.856133,0.010000
0.482622,0.482622,2.073480,0.791484,0.791484,2.793872,-0.299176,-0.299176,8.796312,0.010000
0.490488,0.490488,2.101748,0.788266,0.788266,2.783148,-0.321852,-0.321852,8.737526,0.010000
0.498319,0.498319,2.129900,0.784826,0.784826,2.771846,-0.343952,-0.343952,8.679793,0.010000
0.506113,0.506113,2.157931,0.781171,0.781171,2.759977,-0.365479,-0.365479,8.623138,0.010000
0.513867,0.513867,2.185835,0.777307,0.777307,2.747553,-0.386434,-0.386434,8.567580,0.010000
0.521579,0.521579,2.213607,0.773239,0.773239,2.734584,-0.406820,-0.406820,8.513142,0.010000
0.529247,0.529247,2.241241,0.768972,0.768972,2.721082,-0.426640,-0.426640,8.459840,0.010000
0.536870,0.536870,2.268732,0.764513,0.764513,2.707059,-0.445894,-0.445894,8.407697,0.010000
0.544445,0.544445,2.296075,0.759868,0.759868,2.692527,-0.464586,-0.464586,8.356728,0.010000
0.551972,0.551972,2.323265,0.755040,0.755040,2.677496,-0.482718,-0.482718,8.306950,0.010000
0.559447,0.559447,2.350297,0.750037,0.750037,2.661980,-0.500293,-0.500293,8.258382,0.010000
0.566870,0.566870,2.377168,0.744864,0.744864,2.645990,-0.517312,-0.517312,8.211036,0.010000
0.574238,0.574238,2.403872,0.739527,0.739527,2.629539,-0.533779,-0.533779,8.164930,0.010000
0.581551,0.581551,2.430404,0.734030,0.734030,2.612640,-0.549696,-0.549696,8.120070,0.010000
0.588807,0.588807,2.456761,0.728379,0.728379,2.595305,-0.565065,-0.565065,8.076474,0.010000
0.596004,0.596004,2.482938,0.722580,0.722580,2.577546,-0.579889,-0.579889,8.034147,0.010000
0.603140,0.603140,2.508931,0.716638,0.716638,2.559377,-0.594169,-0.594169,7.993107,0.010000
0.610215,0.610215,2.534737,0.710559,0.710559,2.540811,-0.607909,-0.607909,7.953353,0.010000
0.617228,0.617228,2.560351,0.704348,0.704348,2.521860,-0.621110,-0.621110,7.914896,0.010000
0.624176,0.624176,2.585771,0.698010,0.698010,2.502537,-0.633775,-0.633775,7.877742,0.010000
0.631060,0.631060,2.610991,0.691551,0.691551,2.482857,-0.645907,-0.645907,7.841897,0.010000
0.637876,0.637876,2.636010,0.684976,0.684976,2.462830,-0.657505,-0.657505,7.807360,0.010000
0.644626,0.644626,2.660823,0.678291,0.678291,2.442472,-0.668574,-0.668574,7.774139,0.010000
0.651307,0.651307,2.685428,0.671499,0.671499,2.421794,-0.679116,-0.679116,7.742231,0.010000
0.657919,0.657919,2.709822,0.664608,0.664608,2.400810,-0.689132,-0.689132,7.711641,0.010000
0.664460,0.664460,2.734002,0.657622,0.657622,2.379534,-0.698625,-0.698625,7.682360,0.010000
0.670930,0.670930,2.757964,0.650546,0.650546,2.357977,-0.707597,-0.707597,7.654392,0.010000
0.677328,0.677328,2.781707,0.643385,0.643385,2.336155,-0.716051,-0.716051,7.627734,0.010000
0.683653,0.683653,2.805228,0.636146,0.636146,2.314079,-0.723988,-0.723988,7.602378,0.010000
0.689905,0.689905,2.828525,0.628831,0.628831,2.291762,-0.731412,-0.731412,7.578320,0.010000
0.696082,0.696082,2.851594,0.621448,0.621448,2.269217,-0.738325,-0.738325,7.555552,0.010000
0.702185,0.702185,2.874436,0.614001,0.614001,2.246458,-0.744730,-0.744730,7.534070,0.010000
0.708213,0.708213,2.897046,0.606495,0.606495,2.223497,-0.750630,-0.750630,7.513862,0.010000
0.714164,0.714164,2.919425,0.598934,0.598934,2.200346,-0.756028,-0.756028,7.494920,0.010000
0.720039,0.720039,2.941569,0.591325,0.591325,2.177018,-0.760927,-0.760927,7.477233,0.010000
0.725838,0.725838,2.963477,0.583672,0.583672,2.153526,-0.765331,-0.765331,7.460790,0.010000
0.731559,0.731559,2.985148,0.575979,0.575979,2.129882,-0.769243,-0.769243,7.445575,0.010000
0.737203,0.737203,3.006581,0.568253,0.568253,2.106098,-0.772668,-0.772668,7.431579,0.010000
0.742769,0.742769,3.027773,0.560497,0.560497,2.082186,-0.775610,-0.775610,7.418783,0.010000
