dt,xi_x,xi_y,xi_z,dot_xi_x,dot_xi_y,dot_xi_z
0.01,0.00219835,-0.00220504,6.83512e-06,0.972163,-0.974151,-0.000850299
0.01,0.0115885,-0.0116144,-1.4789e-06,0.939018,-0.940931,-0.000831402
0.01,0.0206075,-0.0206514,-9.52501e-06,0.901896,-0.903707,-0.00080461
0.01,0.0292197,-0.0292809,-1.73435e-05,0.861222,-0.862945,-0.00078185
0.01,0.0373917,-0.0374689,-2.48404e-05,0.817195,-0.818804,-0.000749685
0.01,0.0450944,-0.0451868,-3.20448e-05,0.770277,-0.771784,-0.000720441
0.01,0.0523028,-0.0524091,-3.8939e-05,0.720831,-0.722236,-0.000689419
0.01,0.0589943,-0.0591136,-4.54562e-05,0.669157,-0.670445,-0.000651725
0.01,0.0651513,-0.0652821,-5.15327e-05,0.615702,-0.616853,-0.000607651
0.01,0.0707585,-0.0708997,-5.72166e-05,0.560719,-0.561759,-0.000568392
0.01,0.0758057,-0.075956,-6.24467e-05,0.504714,-0.505633,-0.000523006
0.01,0.0802847,-0.0804431,-6.72281e-05,0.447902,-0.448705,-0.000478141
0.01,0.0841914,-0.0843566,-7.15147e-05,0.390671,-0.391353,-0.000428656
0.01,0.0875255,-0.0876963,-7.52999e-05,0.333407,-0.333972,-0.000378523
0.01,0.0902896,-0.0904648,-7.854e-05,0.27641,-0.276851,-0.000324011
0.01,0.0924894,-0.0926682,-8.12926e-05,0.219987,-0.220334,-0.000275256
0.01,0.0941343,-0.0943154,-8.34967e-05,0.164488,-0.164719,-0.000220412
0.01,0.0952352,-0.0954175,-8.51547e-05,0.110089,-0.110215,-0.000165804
0.01,0.0958067,-0.0959893,-8.62799e-05,0.0571478,-0.0571826,-0.000112521
0.01,0.0958668,-0.0960488,-8.68605e-05,0.0060112,-0.00594734,-5.80573e-05
0.01,0.0954329,-0.0956134,-8.69185e-05,-0.0433905,0.0435382,-5.80313e-06
0.01,0.0945297,-0.0947079,-8.6447e-05,-0.0903183,0.0905545,4.71507e-05
0.01,0.0931798,-0.0933548,-8.54718e-05,-0.134991,0.135307,9.75194e-05
0.01,0.0914105,-0.0915816,-8.40115e-05,-0.176929,0.177317,0.000146038
0.01,0.0892452,-0.0894118,-8.20826e-05,-0.216529,0.21698,0.000192883
0.01,0.0867155,-0.0868771,-7.97238e-05,-0.252974,0.253478,0.000235886
0.01,0.0838531,-0.0840091,-7.69603e-05,-0.286238,0.286792,0.000276346
0.01,0.0806874,-0.0808373,-7.37996e-05,-0.316568,0.317184,0.000316072
0.01,0.0772515,-0.0773949,-7.03048e-05,-0.343596,0.344245,0.000349474
0.01,0.0735763,-0.0737127,-6.64938e-05,-0.367521,0.36821,0.000381109
0.01,0.0696944,-0.0698237,-6.24089e-05,-0.388185,0.388905,0.000408482
0.01,0.0656394,-0.0657612,-5.8091e-05,-0.405506,0.40625,0.00043179
0.01,0.0614431,-0.0615572,-5.35758e-05,-0.41963,0.420395,0.000451522
0.01,0.0571385,-0.0572449,-4.89019e-05,-0.430454,0.431236,0.000467392
0.01,0.0527578,-0.0528563,-4.41171e-05,-0.438067,0.438854,0.000478477
0.01,0.0483303,-0.0484208,-3.92501e-05,-0.442759,0.443556,0.000486706
0.01,0.0438858,-0.0439683,-3.43452e-05,-0.44445,0.445244,0.000490484
0.01,0.0394552,-0.0395299,-2.94352e-05,-0.443051,0.443846,0.000491007
0.01,0.0350611,-0.0351278,-2.45522e-05,-0.439416,0.440207,0.000488295
0.01,0.0307328,-0.0307919,-1.97441e-05,-0.432832,0.433596,0.000480809
0.01,0.0264953,-0.0265469,-1.50304e-05,-0.423743,0.424499,0.000471372
