q_x,q_y,q_z,dq_x,dq_y,dq_z,omega_x,omega_y,omega_z,domega_x,domega_y,domega_z,w_hat_x,w_hat_y,w_hat_z
0.0421618,0.042162,1.61959e-09,-0.000272695,-0.000269198,1.4718e-07,-0.000272066,-0.00026859,1.46298e-07,-6.28841e-05,-6.0785e-05,8.8216e-08,-1.34602e-07,-1.30614e-07,4.5717e-10
0.0421604,0.0421607,1.65581e-09,-0.00027543,-0.000271842,1.5101e-07,-0.000274857,-0.000271289,1.50208e-07,-5.72428e-05,-5.53453e-05,8.0171e-08,-1.22312e-07,-1.18707e-07,4.15461e-10
0.042159,0.0421593,1.68512e-09,-0.000278388,-0.000274724,1.54148e-07,-0.000277802,-0.000274155,1.53467e-07,-5.85679e-05,-5.69242e-05,6.81226e-08,-1.25121e-07,-1.22032e-07,3.69567e-10
0.0421575,0.0421578,1.70402e-09,-0.000281508,-0.000277795,1.56194e-07,-0.000280895,-0.000277194,1.55701e-07,-6.12176e-05,-6.00308e-05,4.92893e-08,-1.30807e-07,-1.2865e-07,2.98911e-10
0.0421561,0.0421564,1.72092e-09,-0.000284857,-0.000281097,1.58175e-07,-0.000284205,-0.000280455,1.57749e-07,-6.52063e-05,-6.41823e-05,4.26171e-08,-1.39338e-07,-1.37527e-07,2.78646e-10
0.0421546,0.042155,1.73581e-09,-0.000288342,-0.000284538,1.59993e-07,-0.000287659,-0.000283864,1.5961e-07,-6.83127e-05,-6.73943e-05,3.82978e-08,-1.45992e-07,-1.44406e-07,2.66532e-10
0.0421531,0.0421535,1.74763e-09,-0.000291875,-0.000288033,1.61522e-07,-0.000291176,-0.000287342,1.61192e-07,-6.99336e-05,-6.9131e-05,3.29518e-08,-1.49474e-07,-1.48128e-07,2.4793e-10
0.0421516,0.042152,1.75727e-09,-0.000295455,-0.000291584,1.62823e-07,-0.000294745,-0.00029088,1.62542e-07,-7.10903e-05,-7.04298e-05,2.8162e-08,-1.51958e-07,-1.50903e-07,2.3072e-10
0.0421501,0.0421505,1.76302e-09,-0.000299084,-0.00029519,1.63731e-07,-0.000298363,-0.000294474,1.63518e-07,-7.21064e-05,-7.15954e-05,2.12313e-08,-1.54141e-07,-1.53392e-07,2.04793e-10
0.0421485,0.042149,1.7639e-09,-0.000302752,-0.000298843,1.64207e-07,-0.000302022,-0.000298117,1.64076e-07,-7.29779e-05,-7.26149e-05,1.31336e-08,-1.56015e-07,-1.55567e-07,1.73955e-10
0.042147,0.0421474,1.75153e-09,-0.000306358,-0.000302468,1.6329e-07,-0.000305634,-0.000301743,1.63376e-07,-7.23859e-05,-7.25298e-05,-8.67217e-09,-1.54789e-07,-1.5536e-07,8.62244e-11
0.0421454,0.0421459,1.7321e-09,-0.000309744,-0.000305891,1.61736e-07,-0.000309053,-0.000305194,1.61978e-07,-6.91632e-05,-6.97151e-05,-2.41709e-08,-1.47938e-07,-1.49321e-07,1.88933e-11
0.0421438,0.0421443,1.70404e-09,-0.000313007,-0.000309214,1.59281e-07,-0.000312343,-0.000308539,1.59695e-07,-6.64686e-05,-6.74639e-05,-4.14385e-08,-1.42201e-07,-1.44468e-07,-5.44986e-11
0.0421422,0.0421427,1.66917e-09,-0.000316138,-0.00031242,1.56153e-07,-0.0003155,-0.000311768,1.56713e-07,-6.38112e-05,-6.51523e-05,-5.60566e-08,-1.36541e-07,-1.39495e-07,-1.17325e-10
0.0421406,0.0421411,1.62862e-09,-0.000319133,-0.000315501,1.52494e-07,-0.000318522,-0.000314873,1.53173e-07,-6.11084e-05,-6.27123e-05,-6.79083e-08,-1.30778e-07,-1.34252e-07,-1.6918e-10
0.042139,0.0421395,1.57433e-09,-0.000321806,-0.000318293,1.47363e-07,-0.000321248,-0.000317714,1.48282e-07,-5.58161e-05,-5.79737e-05,-9.19547e-08,-1.19511e-07,-1.24081e-07,-2.73687e-10
0.0421373,0.0421379,1.51163e-09,-0.000324262,-0.000320889,1.41452e-07,-0.00032375,-0.000320351,1.42553e-07,-5.11857e-05,-5.37847e-05,-1.10132e-07,-1.09634e-07,-1.15077e-07,-3.54078e-10
0.0421359,0.0421365,1.20834e-09,-0.000309385,-0.000306716,1.09078e-07,-0.000311283,-0.000308509,1.13906e-07,0.000189871,0.000179342,-4.82767e-07,4.03943e-07,3.83479e-07,-2.23198e-09
0.0421343,0.0421349,1.12395e-09,-0.000313074,-0.000310502,1.05183e-07,-0.000313149,-0.000310531,1.07199e-07,7.50515e-06,2.91514e-06,-2.01582e-07,1.68075e-08,7.54881e-09,-8.25104e-10
0.042133,0.0421335,7.01062e-10,-0.000295234,-0.000293942,5.68887e-08,-0.000297725,-0.000296241,6.42063e-08,0.000249033,0.000229934,-7.31753e-07,5.29915e-07,4.92422e-07,-3.32187e-09
0.0421317,0.0421322,4.38992e-10,-0.000284021,-0.000283138,3.40132e-08,-0.000286339,-0.000285341,3.94254e-08,0.00023181,0.000220241,-5.4122e-07,4.95034e-07,4.72559e-07,-2.54963e-09
0.0421305,0.042131,3.77175e-11,-0.000266065,-0.000266301,-8.62583e-09,-0.000269264,-0.000269309,-1.05221e-09,0.00031981,0.000300788,-7.57362e-07,6.82136e-07,6.45043e-07,-3.54992e-09
0.0421293,0.0421299,-1.51343e-10,-0.000253831,-0.000254369,-2.38391e-08,-0.00025651,-0.000256947,-1.94071e-08,0.000267837,0.000257791,-4.43201e-07,5.72363e-07,5.53096e-07,-2.22147e-09
0.0421283,0.0421289,-4.40508e-10,-0.000234953,-0.000236309,-5.48881e-08,-0.00023839,-0.000239602,-4.92204e-08,0.000343715,0.000329294,-5.66772e-07,7.33606e-07,7.05873e-07,-2.83089e-09
0.0421273,0.0421279,-5.45012e-10,-0.000221579,-0.00022316,-6.39055e-08,-0.000224489,-0.000225994,-6.09168e-08,0.000290981,0.00028342,-2.98875e-07,6.22011e-07,6.07859e-07,-1.68318e-09
0.0421265,0.042127,-9.1554e-10,-0.000201719,-0.000204149,-1.03952e-07,-0.000205363,-0.000207652,-9.74817e-08,0.000364434,0.000350359,-6.47018e-07,7.77942e-07,7.51003e-07,-3.18055e-09
0.0421257,0.0421262,-1.05697e-09,-0.000187236,-0.000189982,-1.15349e-07,-0.000190363,-0.000193022,-1.11786e-07,0.000312702,0.000303991,-3.56318e-07,6.68377e-07,6.51999e-07,-1.94896e-09
0.042125,0.0421254,-1.35729e-09,-0.000173286,-0.000176749,-1.46927e-07,-0.00017618,-0.000179517,-1.41455e-07,0.000289431,0.000276829,-5.47199e-07,6.18218e-07,5.93944e-07,-2.66203e-09
